site_id,site_name,timestamp,site_health_score,ap_total,ap_online,ap_offline,client_count,auth_failures_1h,active_alerts,alert_severity,alert_description,ssid_count,uplink_quality
SITE-BR-01,Branch — Sukhumvit,2026-04-30T13:00:00Z,89,16,16,0,158,2,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T13:00:00Z,85,16,16,0,159,0,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T13:00:00Z,92,12,12,0,123,1,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T13:00:00Z,88,12,12,0,123,0,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T13:00:00Z,99,12,12,0,123,2,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T13:00:00Z,99,12,12,0,117,2,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T13:00:00Z,97,24,24,0,243,2,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T13:00:00Z,92,24,24,0,239,1,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T13:00:00Z,93,24,24,0,237,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T13:00:00Z,90,20,20,0,200,2,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T13:00:00Z,92,8,8,0,79,0,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T13:00:00Z,86,8,8,0,82,2,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T14:00:00Z,88,16,16,0,162,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T14:00:00Z,87,16,16,0,159,3,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T14:00:00Z,90,12,12,0,121,1,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T14:00:00Z,85,12,12,0,122,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T14:00:00Z,97,12,12,0,122,2,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T14:00:00Z,97,12,12,0,122,1,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T14:00:00Z,97,24,24,0,239,3,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T14:00:00Z,94,24,24,0,242,1,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T14:00:00Z,95,24,24,0,242,3,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T14:00:00Z,89,20,20,0,198,2,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T14:00:00Z,93,8,8,0,80,1,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T14:00:00Z,84,8,8,0,82,3,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T15:00:00Z,88,16,16,0,158,3,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T15:00:00Z,87,16,16,0,162,1,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T15:00:00Z,92,12,12,0,119,3,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T15:00:00Z,89,12,12,0,122,3,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T15:00:00Z,98,12,12,0,123,3,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T15:00:00Z,99,12,12,0,119,3,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T15:00:00Z,97,24,24,0,242,2,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T15:00:00Z,93,24,24,0,237,2,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T15:00:00Z,93,24,24,0,237,3,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T15:00:00Z,90,20,20,0,201,2,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T15:00:00Z,90,8,8,0,80,3,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T15:00:00Z,83,8,8,0,81,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T16:00:00Z,90,16,16,0,158,3,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T16:00:00Z,84,16,16,0,160,1,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T16:00:00Z,91,12,12,0,118,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T16:00:00Z,87,12,12,0,117,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T16:00:00Z,98,12,12,0,117,3,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T16:00:00Z,96,12,12,0,121,1,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T16:00:00Z,97,24,24,0,237,2,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T16:00:00Z,95,24,24,0,242,0,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T16:00:00Z,97,24,24,0,239,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T16:00:00Z,92,20,20,0,199,1,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T16:00:00Z,93,8,8,0,79,0,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T16:00:00Z,82,8,8,0,83,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T17:00:00Z,87,16,16,0,162,0,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T17:00:00Z,85,16,16,0,162,0,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T17:00:00Z,91,12,12,0,123,1,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T17:00:00Z,88,12,12,0,119,0,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T17:00:00Z,98,12,12,0,122,0,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T17:00:00Z,97,12,12,0,121,0,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T17:00:00Z,95,24,24,0,237,3,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T17:00:00Z,93,24,24,0,243,1,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T17:00:00Z,97,24,24,0,241,1,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T17:00:00Z,90,20,20,0,199,3,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T17:00:00Z,93,8,8,0,79,1,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T17:00:00Z,83,8,8,0,79,2,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T18:00:00Z,87,16,16,0,157,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T18:00:00Z,85,16,16,0,158,0,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T18:00:00Z,93,12,11,1,117,1,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T18:00:00Z,86,12,12,0,118,2,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T18:00:00Z,99,12,12,0,122,0,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T18:00:00Z,98,12,12,0,120,1,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T18:00:00Z,96,24,24,0,240,0,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T18:00:00Z,92,24,24,0,241,2,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T18:00:00Z,95,24,24,0,243,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T18:00:00Z,91,20,20,0,201,1,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T18:00:00Z,89,8,8,0,79,1,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T18:00:00Z,86,8,8,0,78,0,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T19:00:00Z,87,16,16,0,94,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T19:00:00Z,86,16,16,0,97,0,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T19:00:00Z,91,12,12,0,70,3,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T19:00:00Z,88,12,12,0,69,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T19:00:00Z,98,12,12,0,69,3,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T19:00:00Z,99,12,12,0,75,1,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T19:00:00Z,94,24,24,0,144,0,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T19:00:00Z,93,24,24,0,143,3,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T19:00:00Z,94,24,24,0,145,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T19:00:00Z,90,20,20,0,118,3,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T19:00:00Z,91,8,8,0,49,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T19:00:00Z,85,8,8,0,51,0,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T20:00:00Z,86,16,16,0,94,0,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T20:00:00Z,87,16,15,1,95,3,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T20:00:00Z,91,12,12,0,75,0,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T20:00:00Z,85,12,11,1,70,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T20:00:00Z,99,12,12,0,74,2,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T20:00:00Z,99,12,12,0,72,0,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T20:00:00Z,94,24,24,0,143,1,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T20:00:00Z,92,24,24,0,142,2,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T20:00:00Z,95,24,23,1,145,2,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T20:00:00Z,89,20,20,0,117,1,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T20:00:00Z,91,8,8,0,51,0,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T20:00:00Z,82,8,8,0,50,3,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T21:00:00Z,87,16,16,0,8,0,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T21:00:00Z,88,16,16,0,5,3,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T21:00:00Z,90,12,12,0,5,3,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T21:00:00Z,88,12,12,0,9,2,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T21:00:00Z,98,12,12,0,7,0,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T21:00:00Z,98,12,12,0,7,1,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T21:00:00Z,94,24,24,0,14,2,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T21:00:00Z,95,24,24,0,12,2,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T21:00:00Z,95,24,24,0,15,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T21:00:00Z,90,20,20,0,7,0,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T21:00:00Z,93,8,8,0,5,0,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T21:00:00Z,84,8,8,0,2,0,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T22:00:00Z,89,16,16,0,7,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T22:00:00Z,85,16,16,0,10,2,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T22:00:00Z,91,12,12,0,3,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T22:00:00Z,86,12,12,0,6,0,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T22:00:00Z,97,12,12,0,5,1,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T22:00:00Z,97,12,12,0,3,0,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T22:00:00Z,98,24,24,0,12,3,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T22:00:00Z,94,24,24,0,9,0,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T22:00:00Z,93,24,24,0,14,1,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T22:00:00Z,91,20,20,0,12,0,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T22:00:00Z,89,8,8,0,5,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T22:00:00Z,84,8,8,0,6,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-04-30T23:00:00Z,90,16,16,0,9,0,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-04-30T23:00:00Z,85,16,16,0,11,1,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-04-30T23:00:00Z,94,12,11,1,8,3,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-04-30T23:00:00Z,89,12,12,0,3,3,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-04-30T23:00:00Z,99,12,12,0,4,2,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-04-30T23:00:00Z,99,12,12,0,7,1,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-04-30T23:00:00Z,96,24,24,0,9,0,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-04-30T23:00:00Z,94,24,24,0,10,2,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-04-30T23:00:00Z,97,24,24,0,15,2,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-04-30T23:00:00Z,91,20,20,0,9,1,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-04-30T23:00:00Z,89,8,8,0,1,0,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-04-30T23:00:00Z,82,8,8,0,1,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-05-01T00:00:00Z,87,16,16,0,7,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-05-01T00:00:00Z,85,16,16,0,10,3,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-05-01T00:00:00Z,93,12,12,0,7,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-05-01T00:00:00Z,89,12,12,0,7,2,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-05-01T00:00:00Z,99,12,12,0,5,3,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-05-01T00:00:00Z,99,12,12,0,4,2,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-05-01T00:00:00Z,96,24,24,0,10,2,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-05-01T00:00:00Z,94,24,24,0,13,1,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-05-01T00:00:00Z,93,24,24,0,11,0,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-05-01T00:00:00Z,89,20,20,0,9,0,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-05-01T00:00:00Z,89,8,7,1,5,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-05-01T00:00:00Z,83,8,8,0,1,0,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-05-01T01:00:00Z,88,16,16,0,11,3,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-05-01T01:00:00Z,86,16,16,0,6,2,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-05-01T01:00:00Z,91,12,12,0,8,0,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-05-01T01:00:00Z,85,12,12,0,5,1,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-05-01T01:00:00Z,98,12,12,0,6,3,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-05-01T01:00:00Z,99,12,12,0,7,3,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-05-01T01:00:00Z,98,24,24,0,14,2,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-05-01T01:00:00Z,94,24,24,0,11,0,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-05-01T01:00:00Z,97,24,24,0,14,2,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-05-01T01:00:00Z,91,20,20,0,8,0,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-05-01T01:00:00Z,93,8,8,0,6,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-05-01T01:00:00Z,84,8,8,0,2,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-05-01T02:00:00Z,89,16,16,0,6,0,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-05-01T02:00:00Z,85,16,16,0,11,0,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-05-01T02:00:00Z,92,12,12,0,4,2,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-05-01T02:00:00Z,89,12,12,0,3,0,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-05-01T02:00:00Z,97,12,12,0,5,0,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-05-01T02:00:00Z,99,12,12,0,8,0,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-05-01T02:00:00Z,95,24,24,0,14,0,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-05-01T02:00:00Z,96,24,24,0,11,1,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-05-01T02:00:00Z,94,24,24,0,13,1,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-05-01T02:00:00Z,90,20,20,0,12,3,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-05-01T02:00:00Z,90,8,8,0,1,3,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-05-01T02:00:00Z,83,8,8,0,7,3,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-05-01T03:00:00Z,87,16,16,0,7,1,0,none,,3,good
SITE-BR-02,Branch — Silom,2026-05-01T03:00:00Z,84,16,16,0,9,2,0,none,,3,good
SITE-BR-03,Branch — Chatuchak,2026-05-01T03:00:00Z,94,12,12,0,8,3,0,none,,3,good
SITE-BR-04,Branch — Ladprao,2026-05-01T03:00:00Z,87,12,12,0,5,3,0,none,,3,good
SITE-DC-01,Data Centre — Wing A,2026-05-01T03:00:00Z,99,12,12,0,3,1,0,none,,2,good
SITE-DC-02,Data Centre — Wing B,2026-05-01T03:00:00Z,99,12,12,0,5,3,0,none,,2,good
SITE-HQ-01,Bangkok HQ — Floor 1,2026-05-01T03:00:00Z,97,24,24,0,9,1,0,none,,4,good
SITE-HQ-02,Bangkok HQ — Floor 2,2026-05-01T03:00:00Z,92,24,24,0,10,3,0,none,,4,good
SITE-HQ-03,Bangkok HQ — Floor 3,2026-05-01T03:00:00Z,94,24,24,0,15,3,0,none,,4,good
SITE-HQ-04,Bangkok HQ — Floor 4,2026-05-01T03:00:00Z,90,20,20,0,7,0,0,none,,4,good
SITE-WH-01,Warehouse — Lat Krabang,2026-05-01T03:00:00Z,89,8,8,0,4,2,0,none,,2,good
SITE-WH-02,Warehouse — Bang Na,2026-05-01T03:00:00Z,86,8,8,0,1,1,0,none,,2,good
SITE-BR-01,Branch — Sukhumvit,2026-05-01T04:00:00Z,67,16,14,2,4,36,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-02,Branch — Silom,2026-05-01T04:00:00Z,65,16,14,2,4,30,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-03,Branch — Chatuchak,2026-05-01T04:00:00Z,69,12,10,2,3,14,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-04,Branch — Ladprao,2026-05-01T04:00:00Z,67,12,11,1,3,22,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-DC-01,Data Centre — Wing A,2026-05-01T04:00:00Z,77,12,10,2,5,15,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-DC-02,Data Centre — Wing B,2026-05-01T04:00:00Z,74,12,11,1,3,24,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-HQ-01,Bangkok HQ — Floor 1,2026-05-01T04:00:00Z,72,24,21,3,2,15,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-HQ-02,Bangkok HQ — Floor 2,2026-05-01T04:00:00Z,70,24,22,2,5,37,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-HQ-03,Bangkok HQ — Floor 3,2026-05-01T04:00:00Z,72,24,21,3,3,20,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-HQ-04,Bangkok HQ — Floor 4,2026-05-01T04:00:00Z,69,20,18,2,3,15,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-WH-01,Warehouse — Lat Krabang,2026-05-01T04:00:00Z,71,8,7,1,4,40,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-WH-02,Warehouse — Bang Na,2026-05-01T04:00:00Z,63,8,7,1,2,13,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-BR-01,Branch — Sukhumvit,2026-05-01T05:00:00Z,64,16,14,2,2,16,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-02,Branch — Silom,2026-05-01T05:00:00Z,64,16,14,2,1,26,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-03,Branch — Chatuchak,2026-05-01T05:00:00Z,68,12,11,1,4,27,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-04,Branch — Ladprao,2026-05-01T05:00:00Z,66,12,10,2,1,18,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-DC-01,Data Centre — Wing A,2026-05-01T05:00:00Z,78,12,11,1,1,12,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-DC-02,Data Centre — Wing B,2026-05-01T05:00:00Z,75,12,11,1,4,11,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-HQ-01,Bangkok HQ — Floor 1,2026-05-01T05:00:00Z,75,24,21,3,7,23,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-HQ-02,Bangkok HQ — Floor 2,2026-05-01T05:00:00Z,74,24,21,3,3,16,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-HQ-03,Bangkok HQ — Floor 3,2026-05-01T05:00:00Z,71,24,23,1,2,30,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-HQ-04,Bangkok HQ — Floor 4,2026-05-01T05:00:00Z,67,20,18,2,1,17,1,warning,Network degradation — upstream ISP issue,4,fair
SITE-WH-01,Warehouse — Lat Krabang,2026-05-01T05:00:00Z,68,8,7,1,1,28,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-WH-02,Warehouse — Bang Na,2026-05-01T05:00:00Z,62,8,7,1,1,24,1,warning,Network degradation — upstream ISP issue,2,fair
SITE-BR-01,Branch — Sukhumvit,2026-05-01T06:00:00Z,67,16,15,1,4,16,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-02,Branch — Silom,2026-05-01T06:00:00Z,64,16,15,1,3,23,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-03,Branch — Chatuchak,2026-05-01T06:00:00Z,73,12,11,1,0,14,1,warning,Network degradation — upstream ISP issue,3,fair
SITE-BR-04,Branch — Ladprao,2026-05-01T06:00:00Z,68,12,11,1,0,40,1,warning,Network degradation — upstream ISP issue,3,fair
